iter	Passed	Remaining
756	1136	364
757	1137	363
758	1139	361
759	1144	361
760	1145	359
761	1146	358
762	1148	356
763	1149	355
764	1151	353
765	1152	352
766	1154	350
767	1155	349
768	1158	348
769	1160	346
770	1161	345
771	1163	343
772	1165	342
773	1166	340
774	1167	339
775	1169	337
776	1171	336
777	1174	335
778	1175	333
779	1177	332
780	1179	330
781	1180	329
782	1181	327
783	1183	326
784	1184	324
785	1186	322
786	1190	322
787	1191	320
788	1192	318
789	1194	317
790	1195	315
791	1197	314
792	1198	312
793	1200	311
794	1201	309
795	1204	308
796	1206	307
797	1208	305
798	1209	304
799	1210	302
800	1212	301
801	1213	299
802	1215	298
803	1218	297
804	1220	295
805	1221	294
806	1222	292
807	1224	291
808	1226	289
809	1227	287
810	1229	286
811	1230	284
812	1232	283
813	1235	282
814	1236	280
815	1237	279
816	1238	277
817	1239	275
818	1240	274
819	1242	272
820	1243	271
821	1244	269
822	1245	267
823	1247	266
824	1249	264
825	1250	263
826	1252	261
827	1253	260
828	1254	258
829	1256	257
830	1257	255
831	1258	254
832	1259	252
833	1261	251
834	1263	249
835	1265	248
836	1266	246
837	1267	244
838	1268	243
839	1269	241
840	1270	240
841	1271	238
842	1273	237
843	1274	235
844	1275	233
845	1278	232
846	1279	231
847	1280	229
848	1281	227
849	1282	226
850	1283	224
851	1285	223
852	1286	221
853	1287	220
854	1288	218
855	1289	216
856	1290	215
857	1293	214
858	1294	212
859	1295	210
860	1296	209
861	1297	207
862	1299	206
863	1300	204
864	1301	203
865	1302	201
866	1303	199
867	1304	198
868	1305	196
869	1309	195
870	1310	194
871	1311	192
872	1312	190
873	1314	189
874	1315	187
875	1316	186
876	1317	184
877	1318	183
878	1319	181
879	1320	180
880	1323	178
881	1324	177
882	1325	175
883	1326	174
884	1327	172
885	1328	170
886	1329	169
887	1330	167
888	1332	166
889	1333	164
890	1334	163
891	1335	161
892	1338	160
893	1339	158
894	1340	157
895	1341	155
896	1343	154
897	1344	152
898	1345	151
899	1346	149
900	1347	148
901	1348	146
902	1349	144
903	1350	143
904	1353	142
905	1355	140
906	1356	139
907	1357	137
908	1358	135
909	1359	134
910	1360	132
911	1361	131
912	1362	129
913	1363	128
914	1364	126
915	1365	125
916	1366	123
917	1369	122
918	1370	120
919	1371	119
920	1372	117
921	1374	116
922	1375	114
923	1376	113
924	1377	111
925	1378	110
926	1379	108
927	1380	107
928	1383	105
929	1384	104
930	1386	102
931	1387	101
932	1388	99
933	1389	98
934	1390	96
935	1391	95
936	1392	93
937	1393	92
938	1394	90
939	1395	89
940	1399	87
941	1400	86
942	1401	84
943	1403	83
944	1404	81
945	1405	80
946	1407	78
947	1408	77
948	1409	75
949	1410	74
950	1412	72
951	1414	71
952	1415	69
953	1416	68
954	1418	66
955	1419	65
956	1420	63
957	1421	62
958	1422	60
959	1423	59
960	1424	57
961	1425	56
962	1429	54
963	1430	53
964	1431	51
965	1432	50
966	1433	48
967	1435	47
968	1436	45
969	1437	44
970	1438	42
971	1439	41
972	1440	39
973	1443	38
974	1445	37
975	1446	35
976	1447	34
977	1448	32
978	1449	31
979	1450	29
980	1452	28
981	1453	26
982	1454	25
983	1455	23
984	1456	22
985	1459	20
986	1460	19
987	1461	17
988	1462	16
989	1463	14
990	1464	13
991	1466	11
992	1467	10
993	1468	8
994	1469	7
995	1470	5
996	1473	4
997	1474	2
998	1475	1
999	1476	0
